title,yt_video_id,yt_channel_id,yt_channel_title,thumb_url
CSS Crash Course For Absolute Beginners,yfoY53QXEnI,UC29ju8bIPH5as8OGnQzwJyA,Traversy Media,https://i.ytimg.com/vi/yfoY53QXEnI/hqdefault.jpg
CSS Tutorial - Zero to Hero (Complete Course),1Rs2ND1ryYc,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,https://i.ytimg.com/vi/1Rs2ND1ryYc/hqdefault.jpg
CSS Position Tutorial | Learn CSS For Beginners,gD3G67oPg-w,UClb90NQQcskPUGDIXsQEz5Q,Dev Ed,https://i.ytimg.com/vi/gD3G67oPg-w/hqdefault.jpg
Learn HTML5 and CSS3 For Beginners - Crash Course,vQWlgd7hV4A,UClb90NQQcskPUGDIXsQEz5Q,Dev Ed,https://i.ytimg.com/vi/vQWlgd7hV4A/hqdefault.jpg
CSS Tutorial For Absolute Beginners!,JzjakXUJ6Og,UCzBE6eZsPeTffVP93zHjuSQ,Extreme Basics,https://i.ytimg.com/vi/JzjakXUJ6Og/hqdefault.jpg
A Poor Millennial's Guide To Investing | Forbes,_7_n14jdvQ0,UCmh7afBz-uWwOSSNTqUBAhg,Forbes,https://i.ytimg.com/vi/_7_n14jdvQ0/hqdefault.jpg
Millionaire Financial Advice For 18-35 Year Olds | Millennial Money,TPX_OTvGk9k,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,https://i.ytimg.com/vi/TPX_OTvGk9k/hqdefault.jpg
Investing for Millennials,H7pQFy8Nl40,UCdlNK1xcy-Sn8liq7feNxWw,Grant Cardone,https://i.ytimg.com/vi/H7pQFy8Nl40/hqdefault.jpg
"Millennials need to stop ""saving"" for retirement and start investing",cjzO6lgLcyM,UC8p1vwvWtl6T73JiExfWs1g,CBS News,https://i.ytimg.com/vi/cjzO6lgLcyM/hqdefault.jpg
Suze Orman: No.1 Investing Mistake Millennials Make,rDYrZ-aoVHU,UCH5_L3ytGbBziX0CLuYdQ1Q,CNBC Make It.,https://i.ytimg.com/vi/rDYrZ-aoVHU/hqdefault.jpg
Learn JavaScript - Full Course for Beginners,PkZNo7MFNFg,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,https://i.ytimg.com/vi/PkZNo7MFNFg/hqdefault.jpg
JavaScript Crash Course For Beginners,hdI2bqOjy3c,UC29ju8bIPH5as8OGnQzwJyA,Traversy Media,https://i.ytimg.com/vi/hdI2bqOjy3c/hqdefault.jpg
JavaScript Fundamentals For Beginners,vEROU2XtPR8,UC29ju8bIPH5as8OGnQzwJyA,Traversy Media,https://i.ytimg.com/vi/vEROU2XtPR8/hqdefault.jpg
Data Structures and Algorithms in JavaScript - Full Course for Beginners,t2CEgPsws3U,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,https://i.ytimg.com/vi/t2CEgPsws3U/hqdefault.jpg
Javascript Tutorial - Programming Tutorial for Beginners Pt 1,vZBCTc9zHtI,UCVTlvUkGslCV_h-nSAId8Sw,LearnCode.academy,https://i.ytimg.com/vi/vZBCTc9zHtI/hqdefault.jpg
